اللعبة,الحد الأدنى - معالج,الحد الأدنى - ذاكرة,الحد الأدنى - كرت شاشة,الحد الأدنى - مساحة,الحد الأدنى - نظام,الموصى به - معالج,الموصى به - ذاكرة,الموصى به - كرت شاشة,الموصى به - مساحة,الموصى به - نظام,المصدر
Outer Wilds,Intel Core i5-2300 / AMD FX-4350,4 GB,NVIDIA GeForce GTX 560 / AMD Radeon HD 6870,8 GB,Windows 7 64-bit,Intel Core i5-8400 / AMD Ryzen 5 2600X,8 GB,NVIDIA GeForce GTX 1060 / AMD Radeon RX 580,8 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Starbound,Dual Core 2.0 GHz,2 GB,256 MB Video Memory,3 GB,Windows XP,Dual Core 3.0 GHz,4 GB,512 MB Video Memory,3 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Terraria,1.6 GHz,512 MB,128 MB Video Memory,200 MB,Windows XP,2.0 GHz,4 GB,256 MB Video Memory,200 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Stardew Valley,2 GHz Processor,2 GB,"256 MB Video Memory, Shader Model 3.0+",500 MB,Windows Vista,Intel Core i5 / AMD equivalent,4 GB,NVIDIA GTX 460 / AMD Radeon HD 6850,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
My Time at Portia,Intel Core i3 or AMD equivalent,4 GB,NVIDIA GeForce GTX 660 / AMD Radeon R7 370,6 GB,Windows 7/8/10 64-bit,Intel Core i5 or AMD equivalent,8 GB,NVIDIA GeForce GTX 960 / AMD Radeon R9 380,6 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
My Time at Sandrock,Intel Core i3 or AMD equivalent,8 GB,NVIDIA GeForce GTX 660 / AMD Radeon R7 370,20 GB,Windows 10 64-bit,Intel Core i5 or AMD equivalent,16 GB,NVIDIA GeForce GTX 960 / AMD Radeon R9 380,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Littlewood,Intel Core i3 or AMD equivalent,2 GB,Intel HD Graphics 4000,500 MB,Windows 7/8/10,Intel Core i5 or AMD equivalent,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Forager,Intel Core i3 or AMD equivalent,2 GB,Intel HD Graphics 4000,200 MB,Windows XP/Vista/7/8/10,Intel Core i5 or AMD equivalent,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,200 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Garden Story,Intel Core i3 or AMD equivalent,4 GB,Intel HD Graphics 4000,2 GB,Windows 7/8/10,Intel Core i5 or AMD equivalent,8 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Wytchwood,Intel Core i3 or AMD equivalent,4 GB,Intel HD Graphics 4000,2 GB,Windows 7/8/10,Intel Core i5 or AMD equivalent,8 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Cozy Grove,Intel Core i3 or AMD equivalent,4 GB,Intel HD Graphics 4000,3 GB,Windows 7/8/10,Intel Core i5 or AMD equivalent,8 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,3 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Spiritfarer,Intel Core i3 or AMD equivalent,4 GB,Intel HD Graphics 4000,7 GB,Windows 7/8/10,Intel Core i5 or AMD equivalent,8 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,7 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Unravel,Intel Core 2 Duo @ 2.4 GHz / AMD Athlon Phenom X2,4 GB,NVIDIA GeForce GT 640 / AMD Radeon R7 250X,8 GB,Windows 7/8.1/10 64-bit,Intel Core i5 @ 3.0 GHz / AMD FX 6100,8 GB,NVIDIA GeForce GTX 660 Ti / AMD Radeon R9 270,8 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Unravel Two,Intel Core i3-2120 @ 3.3 GHz / AMD FX-4350 @ 4.2 GHz,4 GB,NVIDIA GeForce GT 640 / AMD Radeon R7 250X,8 GB,Windows 7/8.1/10 64-bit,Intel Core i5-4460 @ 3.2 GHz / AMD FX-6300 @ 3.5 GHz,8 GB,NVIDIA GeForce GTX 660 Ti / AMD Radeon R9 270,8 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
It Takes Two,Intel Core i3-2100T / AMD FX 6100,8 GB,Nvidia GeForce GTX 660 / AMD R7 260x,50 GB,Windows 8.1/10 64-bit,Intel Core i5 3570K / AMD Ryzen 3 1300x,16 GB,Nvidia GeForce GTX 980 / AMD R9 290X,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
A Way Out,Intel Core i3-2100T / AMD FX 6100,8 GB,Nvidia GeForce GTX 650 Ti / AMD R7 260x,25 GB,Windows 7/8/8.1/10 64-bit,Intel Core i5 3570K / AMD Ryzen 3 1300x,16 GB,Nvidia GeForce GTX 970 / AMD R9 290,25 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Brothers: A Tale of Two Sons,2.4 GHz Core 2 Duo,2 GB,NVIDIA GeForce 8600 / ATI Radeon HD 2600,2 GB,Windows XP SP3,2.4 GHz Core 2 Duo,4 GB,NVIDIA GeForce GTX 550 Ti / ATI Radeon HD 6850,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Portal 2,"3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher)",2 GB,Video card must be 128 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher / NVIDIA GeForce 7600 or higher / Intel HD Graphics 2000 or higher),8 GB,Windows 7/8/8.1/10,"3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher)",4 GB,Video card must be 256 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher / NVIDIA GeForce 7600 or higher / Intel HD Graphics 2000 or higher),8 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Portal,1.7 GHz Processor,512 MB,DirectX 8.1 level Graphics Card (Requires support for SSE),4 GB,Windows 7/8/8.1/10,"Pentium 4 processor (3.0GHz, or better)",1 GB,DirectX 9 level Graphics Card,4 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Left 4 Dead 2,Pentium 4 3.0GHz,2 GB,"Video card with 128 MB, Shader model 2.0. ATI X800, NVidia 6600 or better",13 GB,Windows 7/8/8.1/10,Intel core 2 duo 2.4GHz,2 GB,"Video Card Shader model 3.0. NVidia 7600, ATI X1600 or better",13 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Left 4 Dead,Pentium 4 3.0GHz,1 GB,"ATI X800, NVidia 6600 or better",7.5 GB,Windows 7/8/8.1/10,Intel core 2 duo 2.4GHz,2 GB,"NVidia 7600, ATI X1600 or better",7.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Half-Life 2,1.7 GHz Processor,512 MB,DirectX 8.1 level Graphics Card (Requires support for SSE),4.5 GB,Windows 7/8/8.1/10,"Pentium 4 processor (3.0GHz, or better)",1 GB,DirectX 9 level Graphics Card,4.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Half-Life,500 MHz Processor,96 MB,16 MB video card,400 MB,Windows XP/ME/98/95,800 MHz Processor,128 MB,32 MB video card,400 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Half-Life: Alyx,Intel Core i5-7500 / AMD Ryzen 5 1600,12 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,50 GB,Windows 10 64-bit,Intel Core i7-9700K / AMD Ryzen 7 3700X,16 GB,NVIDIA RTX 2070 / AMD Radeon RX 5700 XT,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Counter-Strike: Global Offensive,Intel Core 2 Duo E6600 / AMD Phenom X3 8750,2 GB,Video card must be 256 MB or more and should be a DirectX 9-compatible with support for Pixel Shader 3.0,15 GB,Windows 7/Vista/XP,Intel Pentium Dual-Core E5700 3GHz / AMD Phenom II X3 720,4 GB,Video card should be 512 MB or more,15 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Counter-Strike: Source,1.7 GHz Processor,512 MB,DirectX 8.1 level Graphics Card (Requires support for SSE),4.5 GB,Windows 7/8/8.1/10,"Pentium 4 processor (3.0GHz, or better)",1 GB,DirectX 9 level Graphics Card,4.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Counter-Strike,500 MHz Processor,96 MB,16 MB video card,500 MB,Windows XP/ME/98/95,800 MHz Processor,128 MB,32 MB video card,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Team Fortress 2,1.7 GHz Processor,512 MB,DirectX 8.1 level Graphics Card (Requires support for SSE),15 GB,Windows 7/8/8.1/10,"Pentium 4 processor (3.0GHz, or better)",1 GB,DirectX 9 level Graphics Card,15 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Garry's Mod,1.7 GHz Processor,2 GB,DirectX 8.1 level Graphics Card (Requires support for SSE),5 GB,Windows Vista/XP/7/8/8.1/10,"Pentium 4 processor (3.0GHz, or better)",4 GB,DirectX 9 level Graphics Card,5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Rust,Intel Core i7-3770 / AMD FX-9590,10 GB,GTX 670 2GB / AMD R9 280 better,20 GB SSD,Windows 10 64-bit,Intel Core i7-4790K / AMD Ryzen 5 1500X,16 GB,GTX 980 / AMD R9 Fury,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
DayZ,Intel Core i5-4430,8 GB,NVIDIA GeForce GTX 760 or AMD R9 270X,16 GB,Windows 10 64-bit,Intel Core i5-6600K or AMD R5 1600X,12 GB,NVIDIA GeForce GTX 1060 or AMD RX 580,16 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Arma 3,Intel Dual-Core 2.4 GHz / AMD Dual-Core Athlon 2.5 GHz,4 GB,NVIDIA GeForce 9800GT / AMD Radeon HD 5670 / Intel HD Graphics 4000 with 512 MB VRAM,20 GB,Windows 7 SP1 64-bit,Intel Core i5-4460 / AMD FX 4300 or better,8 GB,NVIDIA GeForce GTX 660 / AMD Radeon HD 7800 Series with 2 GB VRAM,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Arma 2,Intel Dual-Core 2.4 GHz / AMD Dual-Core Athlon 2.5 GHz,2 GB,NVIDIA GeForce 8600GT / AMD Radeon HD 3650 / Intel HD Graphics 3000 with 512 MB VRAM,12 GB,Windows XP,Intel Core i5-4460 / AMD FX 4300 or better,4 GB,NVIDIA GeForce GTX 260 / AMD Radeon HD 5770 with 1 GB VRAM,12 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Operation Flashpoint: Dragon Rising,Intel Dual-Core 2.0 GHz / AMD Dual-Core Athlon 2.0 GHz,1 GB,NVIDIA GeForce 7600GT / ATI Radeon X1800 with 256 MB VRAM,8 GB,Windows XP/Vista,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,2 GB,NVIDIA GeForce 8800GT / ATI Radeon HD 3850 with 512 MB VRAM,8 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Operation Flashpoint: Red River,Intel Dual-Core 2.0 GHz / AMD Dual-Core Athlon 2.0 GHz,1 GB,NVIDIA GeForce 7600GT / ATI Radeon X1800 with 256 MB VRAM,8 GB,Windows XP/Vista,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,2 GB,NVIDIA GeForce 8800GT / ATI Radeon HD 3850 with 512 MB VRAM,8 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Flashpoint Campaigns: Red Storm Player's Edition,Intel Dual-Core 2.0 GHz / AMD Dual-Core Athlon 2.0 GHz,1 GB,NVIDIA GeForce 7600GT / ATI Radeon X1800 with 256 MB VRAM,2 GB,Windows XP/Vista/7/8,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,2 GB,NVIDIA GeForce 8800GT / ATI Radeon HD 3850 with 512 MB VRAM,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Flashpoint Germany,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,16 MB video card with DirectX 9.0c support,500 MB,Windows 2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,32 MB video card with DirectX 9.0c support,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Squad,Intel Core i / AMD Ryzen with 4 physical cores,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon HD 7970,55 GB,Windows 10 64-bit,Intel Core i / AMD Ryzen with 6 physical cores,16 GB,NVIDIA GeForce GTX 970 / AMD Radeon R9 390,55 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Post Scriptum,Intel Core i5-2500K / AMD FX-8320,8 GB,NVIDIA GTX 770 / AMD Radeon HD 7970,35 GB,Windows 10 64-bit,Intel Core i7-4790K / AMD Ryzen 5 1500X,16 GB,NVIDIA GTX 970 / AMD Radeon R9 290,35 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Beyond The Wire,Intel Core i5-2500K / AMD FX-8320,8 GB,NVIDIA GTX 770 / AMD Radeon HD 7970,20 GB,Windows 10 64-bit,Intel Core i7-4790K / AMD Ryzen 5 1500X,16 GB,NVIDIA GTX 970 / AMD Radeon R9 290,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Hell Let Loose,Intel Core i5-2300 / AMD FX-8120,8 GB,NVIDIA GTX 960 / AMD Radeon R9 280,30 GB,Windows 10 64-bit,Intel Core i7-4770K / AMD Ryzen 5 1500X,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Enlisted,Intel Core i5-2500K / AMD FX-8320,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,25 GB,Windows 10 64-bit,Intel Core i7-4770K / AMD Ryzen 5 1500X,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,25 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
War Thunder,2.2 GHz,4 GB,Intel HD Graphics 4000 / AMD Radeon 46XX / NVIDIA GeForce GT 520,17 GB,Windows 7/8/10 64-bit,Dual-Core 2.4 GHz,8 GB,NVIDIA GeForce GTX 660 / AMD Radeon R9 270 / Intel HD Graphics 630,17 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
World of Tanks,Intel Pentium 4 2.5 GHz / AMD Athlon XP 2500+,2 GB,NVIDIA GeForce 6800 / ATI Radeon x1300,40 GB,Windows 7/8/10,Intel Core i5-3330 / AMD Ryzen 3 1300X,4 GB,NVIDIA GeForce GTX 660 / AMD Radeon HD 7850,40 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
World of Warships,Intel Core 2 Duo 2.5 GHz / AMD Athlon X2 3 GHz,2 GB,NVIDIA GeForce 9600GT / ATI Radeon HD 4670,35 GB,Windows 7/8/10,Intel Core i5-3300 / AMD Ryzen 3 1300X,4 GB,NVIDIA GeForce GTX 660 / AMD Radeon HD 7850,35 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
World of Warplanes,Intel Core 2 Duo 2.5 GHz / AMD Athlon X2 3 GHz,2 GB,NVIDIA GeForce 9600GT / ATI Radeon HD 4670,15 GB,Windows 7/8/10,Intel Core i5-3300 / AMD Ryzen 3 1300X,4 GB,NVIDIA GeForce GTX 660 / AMD Radeon HD 7850,15 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Crossout,Intel Core i3-560 / AMD Phenom II X4 945,4 GB,NVIDIA GeForce GTX 560 / AMD Radeon HD 6870,7 GB,Windows 7/8/10 64-bit,Intel Core i5-2400 / AMD FX-6300,8 GB,NVIDIA GeForce GTX 760 / AMD Radeon R9 270X,7 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Star Conflict,Intel Core 2 Duo 2.5 GHz / AMD Athlon X2 3 GHz,2 GB,NVIDIA GeForce 9600GT / ATI Radeon HD 4670,5 GB,Windows 7/8/10,Intel Core i5-3300 / AMD Ryzen 3 1300X,4 GB,NVIDIA GeForce GTX 660 / AMD Radeon HD 7850,5 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Star Trek Online,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,2 GB,NVIDIA GeForce 7800 / ATI Radeon X1800,10 GB,Windows XP/Vista/7/8,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,4 GB,NVIDIA GeForce 8800GT / ATI Radeon HD 3850,10 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Neverwinter,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,2 GB,NVIDIA GeForce 7800 / ATI Radeon X1800,10 GB,Windows XP/Vista/7/8,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,4 GB,NVIDIA GeForce 8800GT / ATI Radeon HD 3850,10 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dungeons & Dragons Online,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,2 GB,NVIDIA GeForce 7800 / ATI Radeon X1800,10 GB,Windows XP/Vista/7/8,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,4 GB,NVIDIA GeForce 8800GT / ATI Radeon HD 3850,10 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Lord of the Rings Online,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,2 GB,NVIDIA GeForce 7800 / ATI Radeon X1800,10 GB,Windows XP/Vista/7/8,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,4 GB,NVIDIA GeForce 8800GT / ATI Radeon HD 3850,10 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dungeons & Dragons: Chronicles of Mystara,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,2 GB,NVIDIA GeForce 7800 / ATI Radeon X1800,1 GB,Windows XP/Vista/7/8,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,4 GB,NVIDIA GeForce 8800GT / ATI Radeon HD 3850,1 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Baldur's Gate: Dark Alliance,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,2 GB,NVIDIA GeForce 7800 / ATI Radeon X1800,2 GB,Windows XP/Vista/7/8,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,4 GB,NVIDIA GeForce 8800GT / ATI Radeon HD 3850,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Baldur's Gate: Dark Alliance II,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,2 GB,NVIDIA GeForce 7800 / ATI Radeon X1800,2 GB,Windows XP/Vista/7/8,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.7 GHz,4 GB,NVIDIA GeForce 8800GT / ATI Radeon HD 3850,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Champions of Krynn,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Death Knights of Krynn,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
The Dark Queen of Krynn,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Pool of Radiance,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Curse of the Azure Bonds,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Secret of the Silver Blades,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Pools of Darkness,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Gateway to the Savage Frontier,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Treasures of the Savage Frontier,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Spelljammer: Pirates of Realmspace,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Forgotten Realms: Unlimited Adventures,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Ravenloft: Strahd's Possession,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Ravenloft: Stone Prophet,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Menzoberranzan,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dark Sun: Shattered Lands,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dark Sun: Wake of the Ravager,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Al-Qadim: The Genie's Curse,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Blood & Magic,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Descent to Undermountain,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Iron & Blood: Warriors of Ravenloft,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Stronghold,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,500 MB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Stronghold Crusader,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,256 MB,32 MB video card with DirectX 8.1 support,850 MB,Windows 98/ME/2000/XP,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 8.1 support,850 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Stronghold 2,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,64 MB video card with DirectX 9.0c support,2 GB,Windows 2000/XP,Intel Pentium 4 2.4 GHz / AMD Athlon XP 2400+,1 GB,128 MB video card with DirectX 9.0c support,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Stronghold Legends,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,64 MB video card with DirectX 9.0c support,2 GB,Windows 2000/XP,Intel Pentium 4 2.4 GHz / AMD Athlon XP 2400+,1 GB,128 MB video card with DirectX 9.0c support,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
